日期,Close,Open,High,Low,Volume,涨跌幅,涨跌情况（1为涨、0为跌）
2023/6/27,166.12,164.17,166.5,162.2,20.07,-0.32%,0
2023/6/28,166.67,165.23,168.6,164.38,11.94,0.33%,1
2023/6/29,163.81,166,166.5,163.27,11.77,-1.72%,0
2023/6/30,163.57,164.7,165.1,162.8,10.34,-0.15%,0
2023/7/3,167.36,163.27,167.49,162.85,17.34,2.32%,1
2023/7/4,168.22,167,168.5,165.55,12.6,0.51%,1
2023/7/5,165.38,167.52,167.6,165,11.54,-1.69%,0
2023/7/6,164.3,165.3,166.81,163.85,10.14,-0.65%,0
2023/7/7,163.66,164.19,165,163.32,7.9,-0.39%,0
2023/7/10,164.6,164.98,166.5,164.21,9.67,0.57%,1
2023/7/11,165.14,165.45,165.76,163.88,7.02,0.33%,1
2023/7/12,165.46,165.2,166.66,165,11.88,0.19%,1
2023/7/13,172.65,167.88,173,166.65,32.35,4.35%,1
2023/7/14,171.99,173.6,174.33,170.79,15.07,-0.38%,0
2023/7/17,169.66,170.5,170.98,168.16,9.33,-1.35%,0
2023/7/18,168.4,169.7,170.23,168,8.2,-0.74%,0
2023/7/19,168.32,167.82,168.76,166.81,7.69,-0.05%,0
2023/7/20,168.56,169,171.28,168.08,12.75,0.14%,1
2023/7/21,171.27,169.88,174,167.88,19.54,1.61%,1
2023/7/24,169.36,169.13,170,167.9,13.17,-1.12%,0
2023/7/25,179.5,176,180.67,175.17,44.06,5.99%,1
2023/7/26,177.8,179.5,180.68,176.85,17.4,-0.95%,0
2023/7/27,178.46,178.97,180.85,176.85,18.8,0.37%,1
2023/7/28,181.18,177.3,182.16,176.63,31.97,1.52%,1
2023/7/31,181,186.6,188.57,180.98,31.56,-0.10%,0
2023/8/1,179.88,181.69,184.15,178.5,19.57,-0.62%,0
2023/8/2,177.98,179,180.99,177.2,15.51,-1.06%,0
2023/8/3,178.6,177.04,179.96,175.13,15.26,0.35%,1
2023/8/4,179.28,181.39,182.5,178.7,14.35,0.38%,1
2023/8/7,177.31,178.3,179.28,176.4,15.69,-1.10%,0
2023/8/8,176.88,176.18,178.06,175.18,11.61,-0.24%,0
2023/8/9,177.18,177.46,177.88,176.1,8.68,0.17%,1
2023/8/10,176.31,176.88,177,174.66,10.42,-0.49%,0
2023/8/11,172.36,177.46,177.55,172.27,14.89,-2.24%,0
2023/8/14,168.62,170,170.33,166,21.09,-2.17%,0
2023/8/15,166.5,168.61,168.9,165.69,16.81,-1.26%,0
2023/8/16,166.7,166.28,167.4,165.2,11.63,0.12%,1
2023/8/17,168.44,165.9,168.61,164.5,16.69,1.04%,1
2023/8/18,163.53,168.42,168.68,163.5,27.95,-2.91%,0
2023/8/21,161.97,162.18,164.36,161.38,16.45,-0.95%,0
2023/8/22,162.15,162.62,163.5,160.48,15.69,0.11%,1
2023/8/23,160.01,162.05,162.14,160,14.68,-1.32%,0
2023/8/24,162.26,160.08,163.5,159.21,17.59,1.41%,1
2023/8/25,161.55,161.02,162.77,160.55,11.63,-0.44%,0
2023/8/28,157.49,168.01,168.99,157.01,54.58,-2.51%,0
2023/8/29,159.4,156,160.1,155.33,23.87,1.21%,1
2023/8/30,157.82,159.4,160.12,157.6,22.6,-0.99%,0
2023/8/31,155.91,157.82,157.83,155.83,22,-1.21%,0
2023/9/1,159.74,157,159.96,157,23.24,2.46%,1
2023/9/4,167.93,161.6,168,161.6,46.5,5.13%,1
2023/9/5,165.72,167.8,168.23,165.24,19.06,-1.32%,0
2023/9/6,165.69,165.06,166.45,164,13.05,-0.02%,0
2023/9/7,163.1,165,165.17,162.9,11.89,-1.56%,0
2023/9/8,161.92,162.26,162.7,160.5,10.5,-0.72%,0
2023/9/11,164.35,161,165.31,160.15,16.07,1.50%,1
2023/9/12,162.98,163.4,164.06,162.61,8.94,-0.83%,0
2023/9/13,163.65,164,165.39,162.45,13.11,0.41%,1
2023/9/14,162,163.65,164.23,161.03,13.05,-1.01%,0
2023/9/15,159.71,162.07,163.04,159.3,17.76,-1.41%,0
2023/9/18,162.8,159,163.01,158.01,16.3,1.93%,1
2023/9/19,160.91,162.01,162.2,159.5,11.37,-1.16%,0
2023/9/20,159.84,160.2,161,159.7,8.71,-0.66%,0
2023/9/21,157.66,159,159.5,157.52,12.95,-1.36%,0
2023/9/22,159.92,157,160.31,156.7,15.43,1.43%,1
2023/9/25,158.9,159.76,159.88,158.6,10.54,-0.64%,0
2023/9/26,156.65,158.88,159.47,156.65,12.5,-1.42%,0
2023/9/27,156.59,156.66,158.65,156,13.28,-0.04%,0
2023/9/28,156.1,156.59,157.38,155.68,12.39,-0.31%,0
2023/10/9,154.27,156.09,156.09,151.8,15.36,-1.17%,0
2023/10/10,153.41,155.49,156.58,153.06,12.72,-0.56%,0
2023/10/11,153.7,154.57,155.23,153.36,9.91,0.19%,1
2023/10/12,155.73,155.25,156,154.21,13.8,1.32%,1
2023/10/13,153.63,154.5,154.5,152.01,14.29,-1.35%,0
2023/10/16,150.14,153.08,153.4,149.71,15.24,-2.27%,0
2023/10/17,150.41,150.14,151.24,148.56,10.72,0.18%,1
2023/10/18,149.24,149.98,151.32,149.18,10.11,-0.78%,0
2023/10/19,144.25,148,148,143.96,21.74,-3.34%,0
2023/10/20,143.7,143,145.93,142.57,13.32,-0.38%,0
2023/10/23,143.75,143.64,145.81,142.4,12.03,0.03%,1
2023/10/24,144.05,143.76,144.99,141.7,16.71,0.21%,1
2023/10/25,149.34,146.95,151,146.95,25.44,3.67%,1
2023/10/26,151.05,148,151.2,147.8,14.62,1.15%,1
2023/10/27,152.99,150.57,153.55,150.16,17.07,1.28%,1
2023/10/30,156.6,155.95,158.36,155,27.4,2.36%,1
2023/10/31,156,157.5,157.65,155.02,14.5,-0.38%,0
2023/11/1,160,166,167.28,160,46.93,2.56%,1
2023/11/2,157.9,160.08,160.96,157.73,16.51,-1.31%,0
2023/11/3,159.67,157.9,160,157.66,13.81,1.12%,1
2023/11/6,159.84,160.67,160.87,158.5,13.75,0.11%,1
2023/11/7,159.31,159.3,159.9,158,10.73,-0.33%,0
2023/11/8,158.63,158.5,159.78,157.57,12.65,-0.43%,0
2023/11/9,158.55,158,159.5,158,9.2,-0.05%,0
2023/11/10,156.9,157.5,158.28,156.5,8.96,-1.04%,0
2023/11/13,154.88,156.89,157.17,154.06,12.56,-1.29%,0
2023/11/14,155.9,155.88,157.89,155,11.3,0.66%,1
2023/11/15,157.25,157.81,158.14,156.7,10.18,0.87%,1
2023/11/16,156.37,157,157.7,156.13,7.04,-0.56%,0
2023/11/17,155,155.5,156.48,154.36,8.45,-0.88%,0
2023/11/20,154.4,154.99,155.94,153.6,11.49,-0.39%,0
2023/11/21,155.3,155,156.64,153.25,16.7,0.58%,1
2023/11/22,153.51,154.2,154.92,153.51,8.69,-1.15%,0
2023/11/23,153.07,153,153.45,151.85,9.46,-0.29%,0
2023/11/24,153.23,152.9,153.88,152.31,9.31,0.10%,1
2023/11/27,149.25,152.79,152.8,148.89,18.53,-2.60%,0
2023/11/28,148.75,149.29,150.08,147.65,13.91,-0.34%,0
2023/11/29,148.3,148.58,148.6,146.9,8.65,-0.30%,0
2023/11/30,149.15,148.17,149.39,148.01,10.68,0.57%,1
2023/12/1,147.21,149,149,146.01,13.43,-1.30%,0
2023/12/4,145.85,146.49,147.67,145.59,10.7,-0.92%,0
2023/12/5,142.67,145.5,145.83,142.24,15.04,-2.18%,0
2023/12/6,144.1,142.6,145.2,141.66,14.47,1.00%,1
2023/12/7,142.52,144.1,144.27,141.5,15.11,-1.10%,0
2023/12/8,142.93,142.52,144.3,142.22,14.48,0.29%,1
2023/12/11,139.2,139.6,140,136.56,32.31,-2.61%,0
2023/12/12,139.3,138,139.68,137.73,14.4,0.07%,1
2023/12/13,133.78,138.6,138.68,133.58,31.86,-3.96%,0
2023/12/14,132.65,135,135.98,132.65,21.44,-0.84%,0
2023/12/15,133.7,133.67,135.8,132.8,20.01,0.79%,1
2023/12/18,134,132.05,134.8,131.87,12.93,0.22%,1
2023/12/19,133.33,133.99,133.99,132.56,13.02,-0.50%,0
2023/12/20,132.13,133.85,133.93,132.1,10.63,-0.90%,0
2023/12/21,134.1,131.88,134.45,131.48,17.66,1.49%,1
2023/12/22,133.42,134.06,134.8,132.57,16.4,-0.51%,0
2023/12/25,134.55,133.32,134.57,132.95,9.86,0.85%,1
2023/12/26,134.32,134.55,134.55,133.61,7.37,-0.17%,0
2023/12/27,133.83,134.32,134.78,133.03,10.43,-0.36%,0
2023/12/28,140.1,133.83,141.14,133.55,33.61,4.69%,1
2023/12/29,140.31,140,141.64,139.29,19.45,0.15%,1
2024/1/2,136,140.3,140.3,135.8,21.53,-3.07%,0
2024/1/3,134.88,135.98,136.67,133.75,16.42,-0.82%,0
2024/1/4,132.32,134.88,134.9,132.01,17.88,-1.90%,0
2024/1/5,131.24,132,133.3,130.78,15.63,-0.82%,0
2024/1/8,128.1,131.01,131.14,128,21.02,-2.39%,0
2024/1/9,127.81,128.1,129.38,127.41,17.48,-0.23%,0
2024/1/10,128.8,127.81,129.58,126.01,16.53,0.77%,1
2024/1/11,129.62,128.7,130.5,127.22,15.65,0.64%,1
2024/1/12,128.75,128.88,130.12,128.1,11.92,-0.67%,0
2024/1/15,128.68,128,129.39,127.08,11.58,-0.05%,0
2024/1/16,128.41,127.92,129.28,126.93,12.53,-0.21%,0
2024/1/17,125.14,127.6,127.8,125.14,17.68,-2.55%,0
2024/1/18,127.9,124.8,128.13,123.19,23.59,2.21%,1
2024/1/19,128.89,127,129.51,126.12,22.5,0.77%,1
2024/1/22,127,128.4,129.15,125.8,21.34,-1.47%,0
2024/1/23,127.38,126.8,128.12,125.48,16.2,0.30%,1
2024/1/24,128.05,128.18,128.48,125.26,16.68,0.53%,1
2024/1/25,131.11,128,131.11,127.56,27.34,2.39%,1
2024/1/26,131,130.11,131.99,129.5,19.32,-0.08%,0
2024/1/29,131.78,131.09,133.67,131.09,21.61,0.60%,1
2024/1/30,127.71,130.8,130.9,127.58,17.07,-3.09%,0
2024/1/31,126.3,127.5,128.68,126.29,13.52,-1.10%,0
2024/2/1,126.5,125.74,127.72,125.14,13.79,0.16%,1
2024/2/2,123.82,126.5,128.65,122.56,21.09,-2.12%,0
2024/2/5,126.57,123.82,127.88,122.91,30.8,2.22%,1
2024/2/6,132.99,126,133,125.7,32.38,5.07%,1
2024/2/7,133.87,133.11,134.7,132.1,29.07,0.66%,1
2024/2/8,133.59,134.8,136.12,132.7,24.37,-0.21%,0
2024/2/19,136.15,138.9,138.95,134.78,28.86,1.92%,1
2024/2/20,134.38,136,137,133,21.18,-1.30%,0
2024/2/21,141.02,133.4,142.68,132.84,46.66,4.94%,1
2024/2/22,141.1,140.11,141.66,139.43,18.84,0.06%,1
2024/2/23,141.71,141.04,143.38,140.05,18.44,0.43%,1
2024/2/26,139.76,141.5,142.28,139.05,13.99,-1.38%,0
2024/2/27,139.76,139.01,139.8,138.05,15.06,0.00%,0
2024/2/28,139.53,139.76,141.4,138.77,19.62,-0.16%,0
2024/2/29,142.25,139,142.33,138.7,17.66,1.95%,1
2024/3/1,142.59,142.05,143.78,140.88,15.88,0.24%,1
2024/3/4,140.33,141.51,142.2,140.04,15.43,-1.58%,0
2024/3/5,141.59,139.98,141.88,139.33,16,0.90%,1
2024/3/6,139.06,141,141.3,138.51,17.65,-1.79%,0
2024/3/7,138.25,139.06,139.98,138.25,11.22,-0.58%,0
2024/3/8,138.42,138.06,139.13,136.66,12.25,0.12%,1
2024/3/11,141.16,138.35,141.29,138.02,19.36,1.98%,1
2024/3/12,148.31,141.17,149.3,141.17,45.08,5.07%,1
2024/3/13,147.76,147.5,149.18,147.14,17.91,-0.37%,0
2024/3/14,149.56,147.2,151,147.06,22.23,1.22%,1
2024/3/15,152.49,149,154.78,148.8,23.89,1.96%,1
2024/3/18,153.5,152.4,154.66,150.71,18.99,0.66%,1
2024/3/19,157.37,153.88,158.97,153.54,33.88,2.52%,1
2024/3/20,156.95,156.88,158.26,155.49,16.16,-0.27%,0
2024/3/21,156.61,156.9,158.54,155.65,13.64,-0.22%,0
